Sentence,Label
"This is a great story. Man. I wonder if the person who yelled ""shut the fuck up!"" at him ever heard it.",0
"Ryan Bundy seems like a nice, responsible  human being who has been sold a bill of goods by his  intellectually domineering brother, who he idolizes. Ammon has a bunch of other similarly situated nutters following him as well.  Where? No one quite knows. And, unless you live in Burns no one cares. Personally, I am glad these bearded, cammo wearing, narrowly educated , nuisances....are there and not here. Traffic is bad enough.  No reason to make it worse with a Constitutional Pagent Play in the Federal Building in downtown PDX.  And,  repulsive as their  cammo costumes are ( all available at Cabela's and Andy and Bax) with their brandishing weapons it's a very immature male form of exhibitionism....cowboys and indians for middle aged men.",0
"Tuesday Jan. 13, members of 
this socalled 'militia' traveled to
John Day,Or to try to enlist the sherif 
there to come to Malheur and support them. He refused to go
without the approval of the local 
sheriff in Burns, Dave Ward.
Sheriff Ward said he only wanted 
The John Day sheriff to come to
Burns if he would be willing to 'shame and humiliate' the trespassers into leaving.
The Bundy Bunch are armed terrorist idiots who are attempting to poison my State with their toxic and divisive brand of 'politics'. They need to be arrested and prosecuted.
Rallies to support public lands and
the Malheur Refuge are being held in 
PDX, Eugene, and other cities across 
Or. next Tuesday Jan. 19: check out
#SupportMalheur.
And yes, I have lived in both rural 
Or (25 years) and urban Or.",0
"Tuesday Jan. 13, members of 
this socalled 'militia' traveled to
John Day,Or to try to enlist the sherif 
there to come to Malheur and support them. He refused to go
without the approval of the local 
sheriff in Burns, Dave Ward.
Sheriff Ward said he only wanted 
The John Day sheriff to come to
Burns if he would be willing to 'shame and humiliate' the trespassers into leaving.
The Bundy Bunch are armed terrorist idiots who are attempting to poison my State with their toxic and divisive brand of 'politics'. They need to be arrested and prosecuted.
Rallies to support public lands and
the Malheur Refuge are being held in 
PDX, Eugene, and other cities across 
Or. next Tuesday Jan. 19: check out
#SupportMalheur.
And yes, I have lived in both rural 
Or (25 years) and urban Or.",0
"Richard Ellmyer, check out Agent Bretzing's official bio at the Portland FBI page -- turns out he went to Brigham Young U, leading me to believe that he has things in common with the Bundy boys.

Also, for the first action taken against the terrorists at the scene we can thank the Backcountry Hunters and Anglers, who have a video at https://www.facebook.com/backcountryhabitat/videos/980875531985426/?theater    
showing their guys ripping down the BS militia sign and restoring the Wildlife Refuge sign.  They also have a petition to show support for keeping our public land publicly owned & managed.",0
"Haven't been to Tastebud's new location, but good on them for throwing a bone (crust?) to SW. Their pizza game is strong. SE Portland is fully saturated in great pizza, though I'm sad Pizza Maria closed. It was fantastic. But here's what I wonder: with all of this genuinely great pizza to be had on and around SE Division (I'd go to P.R.E.A.M. or Apizza Scholls every day if I could, and Cibo is excellent, as is Roman Candle, though a completely different style), how do places like Atlas Pizza survive? Atlas Pizza should not still exist by all the laws of gods and men, and yet. AND YET. Anyway 🍕🍕🍕",0
That's good to hear! Does anyone have links to the work he was honored for? Or was it just for general performance? I'd love to explore it.,0
"Good question, Jackie! How do these yokels make their money? Well, LaVoy Finicum just had his foster children taken from his ranch, likely as a result of him becoming a militant criminal likely to face a suite of federal felony charges. Some reports and tax filings from his home state suggest Finicum was receiving, some years, $100,000 from Catholic Charities to provide foster care. While - according to his statements to the media - his cows barely pay for ranch expenses, the money from the kids could presumably pay for his lifestyle (surely other state money also helped). Was he getting free labor from boys who could work with him on his ranch? Perhaps, but all we know is that with the loss of his foster kids, Finicum is sad to be losing his monetary income, and says he may have to go back to eating rice and beans now that he's not getting paid thousands a week to house, feed, and provide ample ranch work for foster kids.",0
"I just want to say that rents need to get back to reality. People should spend no more than 31% income for housing. For me that makes sense, no more than one third of what you make for housing, then you have money for savings and for enjoying life! 
And... about Hart Noecker, if I see him anywhere I will Noecker in the snout.",0
"Man, they're being sued for NOT growing pot? Somebody call Alanis Morissette, because this is ironic.",0
"Climate justice activists have repeatedly told Novick that they will support density proposals if adequate protections exist for the working class and the poor, otherwise we'll just build a wonderful green city that only the rich can afford to live in. He keeps getting stuck on this point like a broken record without actually listening to what people are repeatedly communicating to him. 

Solid electoral strategy.",0
"Gosh, what happened to Novick?  He seems to have lost some intellectual acuity.  Now he is a close-minded pro-density anti-car fetishist.

It's dumb to deny climate science, but the importance of stacking everyone in apartments can be debated.   The biggest contributors to global warming are agriculture, sheep and dirty utility plants.  In fact, there are studies suggesting that a big dog has a big carbon footprint, but you wouldn't hear Novisk risk angering dogowners.

BTW- I note that the most strident anti-car types still fly, and that we have tech bros working in the Bay Area and living part time here.  Let's have a discussion of what jets do to the environment- but that would be shared sacrifice.

I am voting for that Emmons guy.  He seems okay and Novick is the pits.",0
"I'm sorry to hear this Carl. I thought you and Thom were thick as thieves. And I can't imagine what he could have said or done for you to lump him in with the more beligerant Bernie fans. I mean, after all, he doesn't allow folks to badmouth Hillary on his show, and daily....maybe even hourly....states emphatically that he will support her if she gets the nod in the primaries, and work hard to get her elected.

But politics is your passion, man....take some time off, if you need, and come back, ok?",0
