Sentence,Label
"Dis is soo coo. It's like, 'would youu want yo mother to read dis??' Really great idea, well done!",0
"thanx!! Dis would make mah life a lot less anxiety-inducing. Keep it up, and don't let any1 get in ur way!",0
Dis is such an urgent design problem; s/0 to youu fa takin it on. Very impressive!,0
Is dis somthing imma b able to install on mah site? When gon yu b releasing it?,0
lol u dudes r a bunch of goin.,1
Da ranchers seem motivated by mostly by greed; no1 should have da ryte to allow their animals destroy public land.,0
It was a great show. Not a combo I'd of expected to b gud together but it was.,0
"Dang, dat sounds great.",0
"Dis is a great story. Man. I wonder if da person who yelled ""shut da fukk up!"" at em eva heard it.",0
Dis seems like a step in da rite direction.,0
"It's ridiculous dat dem dudes r bein called ""protesters"". Bein armed is a threat of violence, which makes em terrorists.",1
"Dis story gets more ridiculous by da hr! And, I luhhh dat ppl r sendin dese dudes dildos in da mail now. But… if they really think dere's a happy ending in dis fa any of em, I think they're even more deluded den alll of da jokes bou em assume.",0
"I agree; I don't want to grant em da legitimacy of protestors. They're greedy, small-minded folks who somehow seem to share da mass delusion dat dis is not only a gud idea fir theyself as individuals, but is da rite thing to do fa ranchers at bigass. Basically: take somethin dat currently belongs to yall, and give it to a select group of folks, soo they can profit.",0
Interesting. imma b curious to see how dis works outt. I often refrain from commenting b/c I don't have da time or desire to engage w da couple of resident trolls who seem to jump on every active WW comment thread.,0
Awesome! I luhh Civil Comments!,0
"I'm glad u're workin on dis, and I look forward to seein how it plays outt.    Da comments sections of online news stories have da potential to b great tools fa community interaction abt current events, a Neo Town Hall, of sorts.  One of da reasons I rely on Reddit as a platform fa news and local discussions is dat thea's a sense of community interaction dat's often lacking in mah ""real life,"" hectic discussions.  

But hopefully we won't b tempted to silence those who take unpopular stances.",0
"Angry trolls, misogynists and Racists"", oh mah. It doesn't take alll of mah 150 IQ to see da slant hea.  it's da ""Diversity diode"" at wrk yet again. ""We can say anything dat we want cuz we r Diversity. Youu on da other hand must only  say wat we allow u to say. From now on, winnin arguments against any member of diversity gon b considered offensive language.  facts, cogent, linear posts and Math r now verboten.",0
Nice to sum attempts to try to make comments betta—it feels like any innovation in commenting communities ended wit da launch of Disqus nearly a decade ago.,0
"One would hope dat da purpose of introducing dis system is to encourage more debate and discussion, not less.  It seems thea r several things dat limit da flow of discussion:  Makin comments dat r personal attacks or encouraging witch hunts; tru spam (which has been a real problem on WW's comment section, in mah experience); and chasin rabbits to draw discussions away from da primary subject at hand.

I, fa one, don't want to see unpopular opinions silenced.  Healthy debate is an important component of a civil society.  But when discussions degenerate into insults and distraction, it actually limits da ability of dudes to tlk wit each other.  I'm believing dat dis is da intention of yo newspaper heaa, and I hope it's a movement dat results in more, not less, commentary on current events.  We need it.",0
