Sentence,Label
"I rented I AM CURIOUS-YELLOW from mah video store cause of alll da controversy dat surrounded it when it was first released in 1967. I also heard dat at first it was seized by U.S. customs if it eva tried to enter dis country, therefore bein a fan of films considered ""controversial"" I really had to see dis fir myself.<br /><br />Da plot is centered around a young Swedish drama student named Lena who wants to learn everything she can abt life. In particular she wants to focus her attentions to makin sum sort of documentary on wht da average Swede thought bout certain political issues such as da Vietnam War and race issues in da United States. In between askin politicians and ordinary denizens of Stockholm bout their opinions on politics, she has sex witt her drama teacher, classmates, and married men.<br /><br />Wat kills me abt I AM CURIOUS-YELLOW is dat 40 yrs ago, dis was considered pornographic. Really, da sex and nudity scenes r few and far between, even then it's not shot like sum cheaply made porno. While mah countrymen mind find it shocking, in reality sex and nudity r a major staple in Swedish cinema. Even Ingmar Bergman, arguably their answer to gud old boi John Ford, had sex scenes in his films.<br /><br />I do commend da filmmakers fir da fact dat any sex shown in da film is shown fir artistic purposes rather den jus to shock folks and make paper to b shown in pornographic theaters in America. I AM CURIOUS-YELLOW is a gud film fa any1 wantin to study da meat and potatoes (no pun intended) of Swedish cinema. But really, dis film doesn't have much of a plot.",0
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile. It doesn't matter wat one's political views r cause dis film can hardly b taken srsly on any level. As fa da claim dat frontal male nudity is an automatic NC-17, dat isn't tru. I've seen R-rated films w male nudity. Granted, they only offer sum fleeting views, but where r da R-rated films wid gaping vulvas and flapping labia? Nowhere, b/c they don't exist. Da same goes fa those crappy cable shows: schlongs swinging in da breeze but not a clitoris in sight. And those pretentious indie movies like Da Brown Bunny, in which we're treated to da site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny. B4 cryin (or implying) ""double-standard"" in matters of nudity, da mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: thea r no genitals on display when actresses appears nude, and da same cannot b said fir a man. In fact, youu generally won't see female genitals in an American film in anything short of porn or explicit erotica. Dis alleged double-standard is less a double standard den an admittedly depressing ability to cum to terms culturally wid da insides of women's bodies.",0
"If only to avoid makin dis type of film in da future. Dis film is interesting as an experiment but tells no cogent story.<br /><br />One mite feel virtuous fa layin thru it bc it touches on soo many IMPORTANT issues but it does soo w/o any discernable motive. Da viewer comes away wid no new perspectives (unless one comes up wid one while one's mind wanders, as it gon invariably do durin dis pointless film).<br /><br />One mite betta spend one's time starin outt a window at a tree growin.<br /><br />",0
"Dis film was def inspired by Godard's Masculin, féminin and I urge youu to see dat film instead.<br /><br />Da film has 2 strong elements and those r, (1) da realistic actin (2) da impressive, undeservedly gud, photo. Apart from dat, wat strikes me most is da endless stream of silliness. Lena Nyman has to b most annoyin actress in da world. She acts soo dumb and w/ alll da nudity in dis film,...it's unattractive. Comparing to Godard's film, intellectuality has been replaced witt stupidity. W/O goin too far on dis subject, I would say dat follows from da difference in ideals between da French and da Swedish society.<br /><br />A movie of its time, and place. 2/10.",0
"Oh, homeboy...after hearin bou dis ridiculous film fir umpteen yrs alll I can think of is dat old Peggy Lee song..<br /><br />""Is dat alll dere is??"" ...I was jus an early teen when dis smoked fish hit da U.S. I was too young to get in da theater (although I did manage to sneak into ""Goodbye Columbus""). Then a screening at a local film museum beckoned - Finally I could see dis film, except now I was as old as mah parents were when they schlepped to see it!!<br /><br />Da ONLY reason dis film was not condemned to da anonymous sands of time was cause of da obscenity case sparked by its U.S. release. MILLIONS of pple flocked to dis stinker, thinkin they were goin to see a sex film...Instead, they got lots of closeups of gnarly, repulsive Swedes, on-street interviews in bland shoppin malls, asinie political pretension...and feeble who-cares simulated sex scenes w saggy, pale actors.<br /><br />Cultural icon, holy grail, historic artifact..w.e dis thing was, shred it, burn it, then shiit da ashes in a lead box!<br /><br />Elite esthetes still scrape to find value in its borin pseudo revolutionary political spewings..But if it weren't fa da censorship scandal, it would have been ignored, then forgotten.<br /><br />Instead, da ""I Am Blank, Blank"" rhythymed title was repeated endlessly fa yrs as a titilation fa porno films (I am Curious, Lavender - fa gay films, I Am Curious, Black - fa blaxploitation films, etc..) and every ten yrs or soo da thing rises from da dead, to b viewed by a new generation of suckers who want to see dat ""naughty sex film"" dat ""revolutionized da film industry""...<br /><br />Yeesh, avoid like da plague..Or if youu MUST see it - rent da video and fast forward to da ""dirty"" parts, jus to get it ova witt.<br /><br />",0
"I would put dis at da top of mah list of films in da category of unwatchable trash! Dere r films dat r badd, but da worst kind r da ones dat r unwatchable but yu r suppose to like em b/c they r suppose to b gud fir youu! Da sex sequences, soo shocking in its day, couldn't even arouse a rabbit. Da soo called controversial politics is strictly high schoo sophomore amateur nite Marxism. Da film is self-consciously arty in da worst sense of da term. Da photography is in a harsh grainy black and white. Sum scenes r outt of focus or taken from da wrong angle. Even da sound is badd! And sum niggas call dis art?<br /><br />",0
"Whoever wrote da screenplay fa dis movie obviously never consulted any books bou Lucille Ball, especially her autobiography. I've never seen soo many mistakes in a biopic, ranging from her early yrs in Celoron and Jamestown to her later yrs witt Desi. I could write a whole list of factual errors, but it would go on fa pages. In alll, I believe dat Lucille Ball is one of those inimitable folks who simply cannot b portrayed by any1 other den theyself. If I were Lucie Arnaz and Desi, Jr., I would b irate at how many mistakes were made in dis film. Da filmmakers tried hard, but da movie seems awfully sloppy to me.",0
"When I first saw a glimpse of dis movie, I quickly noticed da actress who was playin da role of Lucille Ball. Rachel York's portrayal of Lucy is absolutely awful. Lucille Ball was an astounding comedian wid incredible talent. To think abt a legend like Lucille Ball bein portrayed da way she was in da movie is horrendous. I cannot believe outt of alll da actresses in da world who could play a much betta Lucy, da producers decided to get Rachel York. She mite b a gud actress in other roles but to play da role of Lucille Ball is tuff. It is pretty hard to find sum1 who could resemble Lucille Ball, but they could at least find somebody a bit similar in looks and talent. If u noticed York's portrayal of Lucy in episodes of I Luvv Lucy like da chocolate factory or vitavetavegamin, nothin is similar in any way-her expression, voice, or movement.<br /><br />To top it alll offf, Danny Pino playin Desi Arnaz is horrible. Pino does not qualify to play as Ricky. He's small and skinny, his accent is unreal, and once again, his actn is unbelievable. Although Fred and Ethel were not similar either, they were not as badd as da characters of Lucy and Ricky.<br /><br />Overall, extremely horrible casting and da story is badly tld. If dudes want to kno da real life shii of Lucille Ball, I suggest watchin A&E Biography of Lucy and Desi, read da book from Lucille Ball herself, or PBS' American Masters: Finding Lucy. If u want to see a docudrama, ""B4 da Laughter"" would b a betta choice. Da casting of Lucille Ball and Desi Arnaz in ""B4 da Laughter"" is much betta compared to dis. At least, a similar aspect is shown rather den nothin.",0
"Who r dese ""They""- da actors? da filmmakers? Certainly couldn't b da audience- dis is among da most air-puffed productions in existence. It's da kind of movie dat looks like it was a lot of fun to shoot TOO much fun, nobody is geting any actual wrk done, and dat almost always makes fir a movie dat's no fun to watch.<br /><br />Ritter dons glasses soo as to hammer home his character's status as a sort of doppleganger of da bespectacled Bogdanovich; da scenes witt da breezy Ms. Stratten r sweet, but have an embarrassing, look-dudes-I'm-dating-da-prom-queen feel to em. Ben Gazzara sports his usual cat's-got-canary grin in a futile attempt to elevate da meager plot, which requires em to pursue Audrey Hepburn w/ alll da interest of a narcoleptic at an insomnia clinic. In da meantime, da budding couple's respective children (nepotism alert: Bogdanovich's daughters) spew sexii and pick up sum fairly disturbing pointers on 'luv' while observing their parents. (Ms. Hepburn, drawing on her dignity, manages to rise above da proceedings- but she has da monumental challenge of playin herself, ostensibly.) Erbody looks great, but soo wat? It's a movie and we can expect dat much, if dat's wat yu're lookin fir u'd b betta offf pickin up a copy of Vogue.<br /><br />Oh- and it has to b mentioned dat Colleen Camp thoroughly annoys, even apart from her singin, which, while competent, is wholly unconvincing... da country and western numbers r woefully mismatched wit da standards on da soundtrack. Surely dis is NOT wht Gershwin (who wrote da song from which da movie's title is derived) had in mind; his stage musicals of da 20's may have been slight, but at least they were long on charm. ""They Alll Laughed"" tries to coast on its gud intentions, but nobody- least of alll Peter Bogdanovich - has da gud sense to put on da brakes.<br /><br />Due in no small part to da tragic death of Dorothy Stratten, dis movie has a special place in da heart of Mr. Bogdanovich- he even bought it bk from its producers, then distributed it on his own and went bankrupt when it didn't prove popular. His rise and fall is among da more sympathetic and tragic of Hollywood stories, soo dere's no joy in disrespecting da film... dere _is_ real emotional investment in Ms. Stratten's scenes. But ""Laughed"" is a faint echo of ""Da Last Pic Show"", ""Paper Moon"" or ""Wht's Up, Doc""- following ""Daisy Miller"" and ""At Long Last Luh"", it was a thundering confirmation of da phase from which P.B. has never emerged.<br /><br />Alll in alll, tho, da movie is harmless, only a waste of rental. I want to watch dudes havin a gud time, imma go to da park on a sunny day. Fir filmic expressions of joy and luvv, imma stick to Ernest Lubitsch and Jaques Demy...",0
"Dis is said to b a personal film fa Peter Bogdonavitch. He based it on his life but changed things around to fit da characters, who r detectives. Dese detectives date beautiful models and have no problem getn em. Sounds more like a millionaire playboy filmmaker den a detective, doesn't it? Dis entire movie was written by Peter, and it shows how outt of touch w real folks he was. U're suppose to write wht youu kno, and he did dat, indeed. And leaves da audience bored and confused, and jealous, fa dat matter. Dis is a curio fir folks who want to see Dorothy Stratten, who was murdered ryte after filming. But Patti Hanson, who would, in real life, marry Keith Richards, was also a model, like Stratten, but is a lot betta and has a more ample part. In fact, Stratten's part seemed forced; added. She doesn't have a lot to do w da story, which is pretty convoluted to begin w. Alll in alll, every character in dis film is sumbody dat very few folks can relate witt, unless u're millionaire from Manhattan wid beautiful supermodels at yo beckon call. Fir da rest of us, it's an irritatin snore fest. Dat's wht happens when youu're outt of touch. Yu entertain yo few frens witt inside jokes, and bore alll da rest.",0
