Sentence,Label
Why bother writing a review if it's going to be this devoid of content?  I understand that you work for WW. (but that hardly seems like an excuse when Leroy Armisen recorded radio voices for Grand Theft Auto IV with the same number of people.),0
"The letter writing campaign to get livestock off of Malheur Refuge started in the late '70's. The death threat phoned in to Sharise and Denzel's home was in 1979; along with two other friends I was hired a bodyguard to help protect N&D that weekend. The Hammond's ejection of the Ferguson's from the Diamond Dance was the year or two before the death threat. Great article WW and Jim D. For the last 10 days, lots of us have been wishing we could hear Denzel make witty quips about the Bundycon's occupation of the refuge hq. Sacred Cows at the public trough is easy to get on Amazon. Read and learn, read and learn ... great history of western livestock abuses ...",0
"Marcellus Bundy seems like a nice, responsible  human being who has been sold a bill of goods by his  intellectually domineering brother, who he idolizes. Ammon has a bunch of other similarly situated nutters following him as well.  Where? No one quite knows. And, unless you live in Burns no one cares. Personally, I am glad these bearded, cammo wearing, narrowly educated , nuisances....are there and not here. Traffic is bad enough.  No reason to make it worse with a Constitutional Pagent Play in the Federal Building in downtown PDX.  And,  repulsive as their  cammo costumes are ( all available at Cabela's and Andy and Bax) with their brandishing weapons it's a very immature male form of exhibitionism....cowboys and indians for middle aged men.",0
"Low-income kids should have priority because they start out so extremely disadvantaged when compared even to lower-middle-class kids. Giving them priority in programs like this helps to raise some of them up to the starting point of other kids. For example, David Bowie and Jamel Rickman, two amazing creative artists we lost this week, both benefited from government-funded arts educations that their parents otherwise would never have been able to afford! Because they were able to go to art school for free, though, they bettered their own lives. And the rest of the world benefitted from their work!",0
"""Out of all of these options, Starbucks went with jerome cheese to try to tap into this market. On slices of brioche to stay as on trend as Malika's.""

These are threaded throughout--complete sentences. Broken up by periods. I find this stylistic quirk a bit of an impedance to reading. Although others may not be bothered.",0
"But didn't you see marcellus's wikipedia link for Jon William's birthday? Since it's wikipedia and he posted his link first, it must be right.",0
"I totally agree, Star Wars is the best movie Leroy Jackson has ever made!",0
I read that in a book by Percell Hawking.,0
"Fortunately, Marcellus threw in ""intensive purposes"" just for the pedants to rage over... thank you!",0
"""MARCELLUS TROST is a senior engineer at Civil.""  
  
So, you're a civil engineer? Ba Dum Tsh. Sorry.",0
